0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/jquery.alerts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/uniform.tp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/jquery.ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/jquery.jgrowl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/jquery.tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/jquery.chosen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/css/plugins/ui.spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/thumbs/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/thumbs/avatarbig.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/line.ccc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/topheaderbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/searchbutton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/userinfoarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/icons/flatscreen.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/icons/pencil.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/headerbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/arrow-active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/icons/message.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/icons/chart.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/menuarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/icons_sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/menucollapsed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/default/noise.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:07 +0800] "GET /mvc/images/sort_asc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:18 +0800] "GET /mvc/images/default/icons_sprite2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/user/user.action HTTP/1.1" 200 10399
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/js/plugins/jquery-1.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/js/plugins/jquery-ui-1.8.16.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/js/plugins/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/js/plugins/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/js/plugins/jquery.uniform.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/js/custom/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:19 +0800] "GET /mvc/js/custom/tables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/fonts/roboto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/jquery.alerts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/uniform.tp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/jquery.ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/jquery.jgrowl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/jquery.tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/ui.spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/css/plugins/jquery.chosen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/thumbs/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/thumbs/avatarbig.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/line.ccc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/topheaderbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/searchbutton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/userinfoarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/headerbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/arrow-active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/icons/flatscreen.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/icons/pencil.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/icons/message.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/icons/chart.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/icons_sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/menuarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/menucollapsed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/default/noise.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/sort_asc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:45:20 +0800] "GET /mvc/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:27 +0800] "GET /mvc/images/default/icons_sprite2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/user/user.action HTTP/1.1" 200 10267
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/js/plugins/jquery-1.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/js/plugins/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/js/plugins/jquery-ui-1.8.16.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/js/custom/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/js/plugins/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/js/plugins/jquery.uniform.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:29 +0800] "GET /mvc/js/custom/tables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/fonts/roboto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/jquery.alerts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/uniform.tp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/jquery.ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/jquery.tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/ui.spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/jquery.chosen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/css/plugins/jquery.jgrowl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/thumbs/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/thumbs/avatarbig.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/userinfoarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/searchbutton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/headerbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/icons/pencil.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/arrow-active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/icons/flatscreen.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/icons/chart.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/icons/message.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/menucollapsed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/icons_sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/menuarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/noise.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/default/topheaderbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/line.ccc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/sort_asc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:30 +0800] "GET /mvc/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:46:31 +0800] "GET /mvc/images/default/icons_sprite2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/user/user.action HTTP/1.1" 200 11895
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/js/plugins/jquery-ui-1.8.16.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/js/plugins/jquery-1.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/js/plugins/jquery.uniform.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/js/plugins/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/js/plugins/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/js/custom/tables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/js/custom/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/fonts/roboto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/jquery.alerts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/uniform.tp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/jquery.ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/ui.spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/jquery.jgrowl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/jquery.tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/css/plugins/jquery.chosen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/thumbs/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/thumbs/avatarbig.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/line.ccc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/topheaderbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/searchbutton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/headerbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/userinfoarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/icons/flatscreen.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/icons/pencil.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/arrow-active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/icons/message.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/icons/chart.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/icons_sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/menuarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/menucollapsed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/default/noise.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/buttons.png HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/sort_asc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:50:55 +0800] "GET /mvc/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:27 +0800] "GET /mvc/user/user.action HTTP/1.1" 200 11873
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:27 +0800] "GET /mvc/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:27 +0800] "GET /mvc/js/plugins/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:27 +0800] "GET /mvc/js/plugins/jquery.uniform.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:27 +0800] "GET /mvc/js/custom/tables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:27 +0800] "GET /mvc/js/plugins/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:27 +0800] "GET /mvc/js/custom/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/js/plugins/jquery-ui-1.8.16.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/js/plugins/jquery-1.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/fonts/roboto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/jquery.alerts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/uniform.tp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/jquery.ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/jquery.jgrowl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/jquery.tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/ui.spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/css/plugins/jquery.chosen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/thumbs/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/thumbs/avatarbig.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/line.ccc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/searchbutton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/topheaderbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/headerbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/userinfoarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/arrow-active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/icons/flatscreen.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/icons/pencil.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/icons/message.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/menuarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/menucollapsed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/icons/chart.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/icons_sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/buttons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/default/noise.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/sort_asc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:51:28 +0800] "GET /mvc/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:52:49 +0800] "GET /mvc/images/default/bghover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:52:52 +0800] "GET /mvc/user/user.action HTTP/1.1" 200 12202
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:52:52 +0800] "GET /mvc/css/style.default.css HTTP/1.1" 304 -
